restaurant_name,food_item,description,price,special_price,special_from,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DINDIGUL VELU BRIYANI,Nandu Masala,,220,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,19
DINDIGUL VELU BRIYANI,Nandu Pepper Fry,,220,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,15,20
DINDIGUL VELU BRIYANI,Veg Fried Rice,,140,,,7,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,16,1
DINDIGUL VELU BRIYANI,Schezwan Veg Fried Rice,,150,,,7.5,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,16,2
DINDIGUL VELU BRIYANI,Mushroom Fried Rice,,170,,,8.5,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,16,3
DINDIGUL VELU BRIYANI,Panneer Fried Rice,,180,,,9,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,16,4
DINDIGUL VELU BRIYANI,Egg Fried Rice,,160,,,8,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,16,5
DINDIGUL VELU BRIYANI,Chicken Fried Rice,,170,,,8.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,16,6
DINDIGUL VELU BRIYANI,Schezwan Egg Fried Rice,,165,,,8.25,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,16,7
DINDIGUL VELU BRIYANI,Schezwan Chicken Fried Rice,,175,,,8.75,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,16,8
DINDIGUL VELU BRIYANI,Prawn Fried Rice,,210,,,10.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,16,9
DINDIGUL VELU BRIYANI,Mixed Fried Rice(Non veg),,220,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,16,10
